Wall time,Step,Value
1579532306.2024112,356800,-1383.695556640625
1579532306.7831311,358400,-1214.0947265625
1579532306.7832053,358400,-1395.75048828125
1579532307.3636386,360000,-1463.2032470703125
1579532307.909044,361600,-1313.2916259765625
1579532309.5752227,366400,-1228.380126953125
1579532309.5755796,366400,-1102.9439697265625
1579532310.6847868,369600,-943.690185546875
1579532310.68515,369600,-1020.4928588867188
1579532311.2490852,371200,-789.3446655273438
1579532312.375417,374400,-1397.122802734375
1579532312.3757658,374400,-1392.5780029296875
1579532312.9227128,376000,-794.9469604492188
1579532312.9229035,376000,-813.7997436523438
1579532315.1387463,382400,-1522.99560546875
1579532315.7020805,384000,-1380.3819580078125
1579532316.8205793,387200,-1379.2252197265625
1579532317.9226696,390400,-1112.46044921875
1579532317.9229443,390400,-1000.61328125
1579532317.923107,390400,-1125.5775146484375
1579532319.050178,393600,-791.6410522460938
1579532320.174543,396800,-692.9807739257812
1579532320.1747394,396800,-797.5203857421875
1579532321.862499,401600,-1219.1494140625
1579532321.8628085,401600,-1342.32861328125
1579532322.4185698,403200,-1392.796630859375
1579532323.5310998,406400,-778.7166137695312
1579532324.0813026,408000,-1280.1815185546875
1579532325.7492456,412800,-975.194580078125
1579532326.860033,416000,-1131.8385009765625
1579532326.8602753,416000,-931.3726196289062
1579532326.860352,416000,-979.2345581054688
1579532326.8605084,416000,-946.8239135742188
1579532327.4118087,417600,-1040.3641357421875
1579532327.412181,417600,-949.798583984375
1579532327.972419,419200,-1233.862548828125
1579532328.5269263,420800,-1220.2681884765625
1579532329.0846493,422400,-1230.6790771484375
1579532331.8554895,430400,-1150.2110595703125
1579532331.8558595,430400,-1128.547607421875
1579532332.4202478,432000,-941.0800170898438
1579532332.966091,433600,-1207.861328125
1579532334.0769475,436800,-815.8609008789062
1579532334.6319263,438400,-954.2865600585938
1579532334.6320698,438400,-989.4882202148438
1579532334.6322105,438400,-953.82373046875
1579532335.1913404,440000,-1297.4515380859375
1579532335.1916494,440000,-1056.3431396484375
1579532335.7634695,441600,-1295.5546875
1579532336.3069804,443200,-1225.737060546875
1579532337.4098809,446400,-964.700439453125
1579532337.9657845,448000,-702.018310546875
